"EZNEC Pro/2+ ver. 7.0"
"Back yard dipole","8/30/2026 9:20:48 AM"
"Alt Z0: ",75
"Freq MHz","Src #","R","X","SWR (50 ohms)","SWR (alt. Z0)"
14,1,72.37945,-58.54773,2.717607,2.172402
14.01,1,72.48552,-57.56698,2.680867,2.144422
14.02,1,72.58451,-56.5841,2.644634,2.116806
14.03,1,72.68351,-55.60263,2.609014,2.089559
14.04,1,72.78957,-54.61975,2.573897,2.062526
14.05,1,72.88857,-53.639,2.539423,2.035954
14.06,1,72.99464,-52.65541,2.505408,2.00956
14.07,1,73.09363,-51.67466,2.472048,1.983634
14.08,1,73.19969,-50.69178,2.439177,1.957903
14.09,1,73.29869,-49.71032,2.406901,1.932593
14.1,1,73.40475,-48.72744,2.375147,1.907498
14.11,1,73.50375,-47.74597,2.343976,1.882811
14.12,1,73.60982,-46.76239,2.313311,1.858323
14.13,1,73.71588,-45.78163,2.283292,1.83421
14.14,1,73.81488,-44.79804,2.253711,1.810391
14.15,1,73.92094,-43.81658,2.224779,1.786868
14.16,1,74.01994,-42.83299,2.196304,1.763648
14.17,1,74.12601,-41.85153,2.168483,1.740721
14.18,1,74.225,-40.86794,2.141115,1.718088
14.19,1,74.33106,-39.88648,2.114408,1.695747
14.2,1,74.43713,-38.90219,2.088185,1.673635
14.21,1,74.5432,-37.92072,2.062603,1.651871
14.22,1,74.64219,-36.93643,2.037455,1.63037
14.23,1,74.74826,-35.95426,2.012986,1.609156
14.24,1,74.84725,-34.96997,1.988972,1.588214
14.25,1,74.95332,-33.98779,1.965647,1.567556
14.26,1,75.05939,-33.0035,1.942852,1.547131
14.27,1,75.16545,-32.02133,1.920691,1.527021
14.28,1,75.26444,-31.03633,1.89898,1.507153
14.29,1,75.37051,-30.05416,1.878002,1.487581
14.3,1,75.47658,-29.06916,1.857564,1.46822
14.31,1,75.58264,-28.08628,1.837781,1.449164
14.32,1,75.68871,-27.10128,1.818572,1.430331
14.33,1,75.79478,-26.1184,1.80003,1.411797
14.34,1,75.89377,-25.1327,1.781972,1.393488
14.35,1,75.99984,-24.14982,1.764703,1.375469
14.36,1,76.1059,-23.16411,1.748034,1.357656
14.37,1,76.21197,-22.18123,1.732079,1.340147
14.38,1,76.31803,-21.19482,1.716736,1.322831
14.39,1,76.4241,-20.21123,1.702128,1.305818
14.4,1,76.53017,-19.22482,1.688171,1.289012
14.41,1,76.63623,-18.24123,1.674968,1.272506
14.42,1,76.7423,-17.25411,1.662436,1.256199
14.43,1,76.84837,-16.27053,1.650688,1.240206
14.44,1,76.95443,-15.28341,1.639641,1.224419
14.45,1,77.06049,-14.29841,1.629382,1.208932
14.46,1,77.16656,-13.31129,1.619871,1.193686
14.47,1,77.27263,-12.32629,1.611171,1.178756
14.48,1,77.37869,-11.33916,1.603245,1.164091
14.49,1,77.48476,-10.35346,1.596141,1.149766
14.5,1,77.59083,-9.365629,1.589837,1.135755
