"i","f_MHz","ms","R","X"
"0","14","5055.3","75.033","-43.681"
"1","14.0071","5320.4","75.114","-42.966"
"2","14.0143","5183.8","75.195","-42.252"
"3","14.0214","5514.5","75.276","-41.537"
"4","14.0286","5521.2","75.357","-40.822"
"5","14.0357","5345.7","75.438","-40.107"
"6","14.0429","5178","75.52","-39.391"
"7","14.05","5304.8","75.601","-38.676"
"8","14.0571","5389.4","75.682","-37.961"
"9","14.0643","5312.3","75.761","-37.23"
"10","14.0714","4959.3","75.842","-36.514"
"11","14.0786","5404.5","75.924","-35.799"
"12","14.0857","5403.6","76.006","-35.083"
"13","14.0929","5173.2","76.087","-34.368"
"14","14.1","5415.5","76.169","-33.652"
"15","14.1071","5440.9","76.251","-32.936"
"16","14.1143","5403.2","76.333","-32.22"
"17","14.1214","5347.6","76.415","-31.504"
"18","14.1286","5468.5","76.497","-30.788"
"19","14.1357","5402.2","76.579","-30.072"
"20","14.1429","5285.1","76.661","-29.356"
"21","14.15","5266.5","76.743","-28.64"
"22","14.1571","5300.5","76.825","-27.923"
"23","14.1643","5189.8","76.908","-27.207"
"24","14.1714","5446.3","76.99","-26.49"
"25","14.1786","5529.8","77.072","-25.774"
"26","14.1857","5471.4","77.155","-25.057"
"27","14.1929","5205.1","77.237","-24.34"
"28","14.2","5371.2","77.32","-23.623"
"29","14.2071","5264.6","77.401","-22.89"
"30","14.2143","5091.4","77.483","-22.173"
"31","14.2214","5248.7","77.566","-21.456"
"32","14.2286","5211.9","77.649","-20.738"
"33","14.2357","5322.1","77.732","-20.021"
"34","14.2429","5206.7","77.815","-19.303"
"35","14.25","5237.9","77.898","-18.586"
"36","14.2571","5421.4","77.981","-17.868"
"37","14.2643","5127.5","78.065","-17.15"
"38","14.2714","4952.9","78.148","-16.432"
"39","14.2786","5234.5","78.231","-15.714"
"40","14.2857","5299.2","78.315","-14.996"
"41","14.2929","5080.3","78.398","-14.277"
"42","14.3","5169.3","78.482","-13.559"
"43","14.3071","6382.2","78.565","-12.84"
"44","14.3143","6171.9","78.649","-12.122"
"45","14.3214","6639.2","78.733","-11.403"
"46","14.3286","6360.7","78.817","-10.684"
"47","14.3357","6778.9","78.901","-9.965"
"48","14.3429","6487.5","78.985","-9.2458"
"49","14.35","6297.1","79.068","-8.5099"
