"i","f_MHz","ms","R","X"
"0","14","62","75.033","-43.681"
"1","14.0071","27.4","75.114","-42.966"
"2","14.0143","27","75.195","-42.252"
"3","14.0214","21.8","75.276","-41.537"
"4","14.0286","23.1","75.357","-40.822"
"5","14.0357","22.3","75.438","-40.107"
"6","14.0429","23.4","75.52","-39.391"
"7","14.05","22.8","75.601","-38.676"
"8","14.0571","23.1","75.682","-37.961"
"9","14.0643","22.8","75.761","-37.23"
"10","14.0714","23.9","75.842","-36.514"
"11","14.0786","27.3","75.924","-35.799"
"12","14.0857","26.7","76.006","-35.083"
"13","14.0929","37.4","76.087","-34.368"
"14","14.1","27.3","76.169","-33.652"
"15","14.1071","27.2","76.251","-32.936"
"16","14.1143","27.6","76.333","-32.22"
"17","14.1214","24.3","76.415","-31.504"
"18","14.1286","27.6","76.497","-30.788"
"19","14.1357","22.9","76.579","-30.072"
"20","14.1429","22.3","76.661","-29.356"
"21","14.15","22.6","76.743","-28.64"
"22","14.1571","26.1","76.825","-27.923"
"23","14.1643","23.3","76.908","-27.207"
"24","14.1714","22.8","76.99","-26.49"
"25","14.1786","24.2","77.072","-25.774"
"26","14.1857","24.8","77.155","-25.057"
"27","14.1929","28.4","77.237","-24.34"
"28","14.2","26.9","77.32","-23.623"
"29","14.2071","27.3","77.401","-22.89"
"30","14.2143","27.1","77.483","-22.173"
"31","14.2214","26.7","77.566","-21.456"
"32","14.2286","26.6","77.649","-20.738"
"33","14.2357","28.3","77.732","-20.021"
"34","14.2429","28.8","77.815","-19.303"
"35","14.25","23.9","77.898","-18.586"
"36","14.2571","23","77.981","-17.868"
"37","14.2643","22.8","78.065","-17.15"
"38","14.2714","23.1","78.148","-16.432"
"39","14.2786","22.2","78.231","-15.714"
"40","14.2857","24","78.315","-14.996"
"41","14.2929","23.4","78.398","-14.277"
"42","14.3","31.6","78.482","-13.559"
"43","14.3071","26.9","78.565","-12.84"
"44","14.3143","27.1","78.649","-12.122"
"45","14.3214","27","78.733","-11.403"
"46","14.3286","30.1","78.817","-10.684"
"47","14.3357","26.9","78.901","-9.965"
"48","14.3429","28.6","78.985","-9.2458"
"49","14.35","27.2","79.068","-8.5099"
