"i","f_MHz","ms","R","X"
"0","14","2173.7","75.033","-43.681"
"1","14.0071","1852.4","75.114","-42.966"
"2","14.0143","1955","75.195","-42.252"
"3","14.0214","2003.2","75.276","-41.537"
"4","14.0286","2000.8","75.357","-40.822"
"5","14.0357","2047.3","75.438","-40.107"
"6","14.0429","2146.2","75.52","-39.391"
"7","14.05","2165.4","75.601","-38.676"
"8","14.0571","1995.6","75.682","-37.961"
"9","14.0643","2113.6","75.761","-37.23"
"10","14.0714","2083.1","75.842","-36.514"
"11","14.0786","2100.1","75.924","-35.799"
"12","14.0857","1911.1","76.006","-35.083"
"13","14.0929","2049.5","76.087","-34.368"
"14","14.1","1990.7","76.169","-33.652"
"15","14.1071","2141.3","76.251","-32.936"
"16","14.1143","1942.9","76.333","-32.22"
"17","14.1214","2039.4","76.415","-31.504"
"18","14.1286","2308.4","76.497","-30.788"
"19","14.1357","2017.4","76.579","-30.072"
"20","14.1429","2058.7","76.661","-29.356"
"21","14.15","2253.2","76.743","-28.64"
"22","14.1571","2003.1","76.825","-27.923"
"23","14.1643","1985.5","76.908","-27.207"
"24","14.1714","1970","76.99","-26.49"
"25","14.1786","2177.5","77.072","-25.774"
"26","14.1857","2156.7","77.155","-25.057"
"27","14.1929","2168","77.237","-24.34"
"28","14.2","1971.8","77.32","-23.623"
"29","14.2071","1983.1","77.401","-22.89"
"30","14.2143","1946.6","77.483","-22.173"
"31","14.2214","1935.2","77.566","-21.456"
"32","14.2286","1967.1","77.649","-20.738"
"33","14.2357","1956.4","77.732","-20.021"
"34","14.2429","1970.6","77.815","-19.303"
"35","14.25","2013.1","77.898","-18.586"
"36","14.2571","2041.9","77.981","-17.868"
"37","14.2643","1952.4","78.065","-17.15"
"38","14.2714","1993.4","78.148","-16.432"
"39","14.2786","2153.9","78.231","-15.714"
"40","14.2857","2109.4","78.315","-14.996"
"41","14.2929","2059","78.398","-14.277"
"42","14.3","2028.5","78.482","-13.559"
"43","14.3071","2092.5","78.565","-12.84"
"44","14.3143","2137.3","78.649","-12.122"
"45","14.3214","2192.3","78.733","-11.403"
"46","14.3286","2116.5","78.817","-10.684"
"47","14.3357","2044.9","78.901","-9.965"
"48","14.3429","2281.3","78.985","-9.2458"
"49","14.35","2233.6","79.068","-8.5099"
