build	threads	deck	segments	wall_s	cpu_time_s	R	X
2461035	1	15m_20m_jumper_half_square	114	2.38	2.372	5.2963E+01	-1.6712E+04
2461035	1	2m-sat-candidate2	372	15.98	15.969	8.4809E+01	4.1160E+01
2461035	1	6mYagi-Onec	88	41.09	41.051	4.4334E+00	3.5740E+01
2461035	1	6mYagi-oneFR	88	1.00	0.995	2.8759E+01	3.3011E+00
2461035	1	6mYagi-RPtoXQ	88	0.08	0.074	4.4334E+00	3.5740E+01
2461035	1	fan_dipole_80_40_20_10_6m	312	4.00	3.991	6.7307E+02	-2.5576E+02
2461035	1	gbhoyt	304	23.20	23.194	1.0060E+03	-4.0562E+02
2461035	1	LP144-35-MAXFB	914	34.27	34.177	6.0997E+01	-1.7516E+01
2461035	1	ON6MU	151	4.93	4.929	3.2583E+01	-7.3756E+00
2461035	1	TRAPx2_V	52	38.96	38.871	7.9459E+01	2.0379E+02
2461035	4	15m_20m_jumper_half_square	114	1.62	3.657	5.2963E+01	-1.6712E+04
2461035	4	2m-sat-candidate2	372	10.14	70.563	8.4809E+01	4.1160E+01
2461035	4	6mYagi-Onec	88	25.75	42.924	4.4334E+00	3.5740E+01
2461035	4	6mYagi-oneFR	88	0.67	1.407	2.8759E+01	3.3011E+00
2461035	4	6mYagi-RPtoXQ	88	0.06	0.375	4.4334E+00	3.5740E+01
2461035	4	fan_dipole_80_40_20_10_6m	312	1.91	6.137	6.7307E+02	-2.5576E+02
2461035	4	gbhoyt	304	15.70	109.860	1.0060E+03	-4.0562E+02
2461035	4	LP144-35-MAXFB	914	15.61	89.083	6.0997E+01	-1.7516E+01
2461035	4	ON6MU	151	3.66	25.374	3.2583E+01	-7.3756E+00
2461035	4	TRAPx2_V	52	38.75	46.991	7.9459E+01	2.0379E+02
