deck,segments,stock_wall_s,a43_wall_s,speedup,set
4nec2-models/Aperiodic/2ELK9AY.nec,297,0.42085945000872016,0.17630671290680766,2.3871,corpus
4nec2-models/Aperiodic/2beverage.nec,242,0.4172654962167144,0.18952367547899485,2.2017,corpus
4nec2-models/Aperiodic/2el160flag.nec,132,0.25893527548760176,0.14898983854800463,1.7379,corpus
4nec2-models/Aperiodic/80pennant-pf.nec,68,0.21714112721383572,0.16064542485401034,1.3517,corpus
4nec2-models/Aperiodic/ON4BAAWD.nec,164,0.1701190839521587,0.07563473517075181,2.2492,corpus
4nec2-models/Aperiodic/Rhombic.nec,160,0.17950039636343718,0.07732219668105245,2.3215,corpus
4nec2-models/Aperiodic/Semirhomb.nec,180,0.4159980434924364,0.23282100027427077,1.7868,corpus
4nec2-models/Aperiodic/Slopvee.nec,170,0.3152546272613108,0.1702632657252252,1.8516,corpus
4nec2-models/Aperiodic/Vee40.nec,82,0.3452937346883118,0.21134524187073112,1.6338,corpus
4nec2-models/Aperiodic/bev80.nec,102,0.36967564607039094,0.22412397293373942,1.6494,corpus
4nec2-models/Equations/Moxon.nec,95,0.287289306987077,0.18544213753193617,1.5492,corpus
4nec2-models/Fractals/Fractal.nec,204,1.522823652252555,0.7526757339946926,2.0232,corpus
4nec2-models/HFActiveFeed/2el10.nec,104,0.11393698118627071,0.06356644583866,1.7924,corpus
4nec2-models/HFActiveFeed/2lsloper.nec,24,0.6246161316521466,0.3906868058256805,1.5988,corpus
4nec2-models/HFActiveFeed/BRDZPR10.nec,116,0.12860810570418835,0.07016784651204944,1.8329,corpus
4nec2-models/HFActiveFeed/ZLSPTS10.nec,108,0.12162231793627143,0.08536244835704565,1.4248,corpus
4nec2-models/HFActiveFeed/ZLTROM10.nec,174,0.18136625736951828,0.08264595549553633,2.1945,corpus
4nec2-models/HFActiveFeed/cedzph10.nec,168,0.18331016320735216,0.08004430262371898,2.2901,corpus
4nec2-models/HFActiveFeed/n2pl_phased_dloop.nec,172,0.31840408267453313,0.17904048971831799,1.7784,corpus
4nec2-models/HFActiveFeed/zlspdp10.nec,104,0.11913428688421845,0.06694453721866012,1.7796,corpus
4nec2-models/HFbeams/2EL160H.nec,613,1.0768490261398256,0.33999885944649577,3.1672,corpus
4nec2-models/HFbeams/2lyagi20.nec,43,0.08550823107361794,0.05609959550201893,1.5242,corpus
4nec2-models/HFbeams/3YAGI20.nec,58,0.3207249860279262,0.20255612302571535,1.5834,corpus
4nec2-models/HFbeams/3el-inverted-V.nec,125,0.3090424481779337,0.1817006333731115,1.7008,corpus
4nec2-models/HFbeams/3lyagi20.nec,247,0.4951325007714331,0.21707906993106008,2.2809,corpus
4nec2-models/HFbeams/40MYAG2.nec,162,0.3535380959510803,0.20005338033661246,1.7672,corpus
4nec2-models/HFbeams/40quad.nec,84,0.1959122153930366,0.11837586434558034,1.6550,corpus
4nec2-models/HFbeams/4el_vk1aa1.nec,361,0.5003801407292485,0.12978440895676613,3.8555,corpus
4nec2-models/HFbeams/5_el_wbeam_PA2AWU.nec,346,0.5871580643579364,0.26348659209907055,2.2284,corpus
4nec2-models/HFbeams/7lyagi10.nec,92,0.29962877044454217,0.19359013810753822,1.5477,corpus
4nec2-models/HFbeams/80hsbeam.nec,132,0.33424034249037504,0.1975093688815832,1.6923,corpus
4nec2-models/HFbeams/80rdbeam.nec,124,0.33742304518818855,0.19910221686586738,1.6947,corpus
4nec2-models/HFbeams/8x6q.nec,584,0.3344142232090235,0.11618932383134961,2.8782,corpus
4nec2-models/HFbeams/Deltalp.nec,120,0.10400197934359312,0.05821672733873129,1.7865,corpus
4nec2-models/HFbeams/NinjaBeam.nec,100,0.28667437471449375,0.17121352115646005,1.6744,corpus
4nec2-models/HFbeams/Stack.nec,106,0.4380350378341973,0.21115542855113745,2.0745,corpus
4nec2-models/HFbeams/moxon20.nec,123,0.3342155059799552,0.19864590745419264,1.6825,corpus
4nec2-models/HFbeams/sloper.nec,55,0.2141478443518281,0.137979154009372,1.5520,corpus
4nec2-models/HFbeams/wa2wvl.nec,139,0.3892512312158942,0.23094258131459355,1.6855,corpus
4nec2-models/HFbeams/zl1le10.nec,64,0.09724626271054149,0.059088672045618296,1.6458,corpus
4nec2-models/HFcollinear/2 dipole on roof.nec,674,1.4580119494348764,0.23625603830441833,6.1713,corpus
4nec2-models/HFcollinear/Collinear_1L.nec,63,0.12216115789487958,0.0771597744897008,1.5832,corpus
4nec2-models/HFcollinear/SLOPER2.nec,204,0.4442914333194494,0.24445731937885284,1.8175,corpus
4nec2-models/HFcollinear/W8BYA Collinear 7 MHz.nec,64,0.3277996117249131,0.20512643735855818,1.5980,corpus
