deck,x13,b3b75639,x13_error,b3b75639_error
4nec2-models/HFbeams/Bowtie.nec,timeout,ok,,
g1ojs/Verticals/others/10m bicone 2 wire 100cm wide.nec,crash,ok,exit code -11 (0xFFFFFFF5): Program received signal SIGSEGV: Segmentation fault - invalid memory reference.,
g1ojs/Verticals/others/10m bicone 2 wire 150cm wide.nec,crash,ok,exit code -11 (0xFFFFFFF5): Program received signal SIGSEGV: Segmentation fault - invalid memory reference.,
g1ojs/Verticals/others/10m bicone 2 wire 40cm wide.nec,crash,ok,exit code -11 (0xFFFFFFF5): Program received signal SIGSEGV: Segmentation fault - invalid memory reference.,
g1ojs/Verticals/others/10m bicone 2 wire 50cm wide.nec,crash,ok,exit code -11 (0xFFFFFFF5): Program received signal SIGSEGV: Segmentation fault - invalid memory reference.,
g1ojs/Verticals/others/10m bicone 2 wire 75cm wide.nec,crash,ok,exit code -11 (0xFFFFFFF5): Program received signal SIGSEGV: Segmentation fault - invalid memory reference.,
g1ojs/Verticals/others/10m bicone 2 wire.nec,crash,ok,exit code -11 (0xFFFFFFF5): Program received signal SIGSEGV: Segmentation fault - invalid memory reference.,
g1ojs/Verticals/others/10m bicone 4 wire.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/10m bitrap.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/10m general.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >corrupted size vs. pr,
g1ojs/Verticals/others/Dipole 4.6m _ too long.nec,crash,ok,exit code -6 (0xFFFFFFFA),
g1ojs/Verticals/others/general 1.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/general 15m.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >corrupted size vs. pr,
g1ojs/Verticals/others/general 2.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-01.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-02.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-03.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-04.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-05.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-06.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-07.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-08.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-09.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-10.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-11.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-12.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-13.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-14.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-15.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
g1ojs/Verticals/others/opt/general 2-16.nec,crash,ok,exit code -6 (0xFFFFFFFA): Enter INPUT file name (or RETURN) > Enter OUTPUT file name (or RETURN) >free(): invalid point,
