deck,d8_t1,d8_t4,d8_ratio,94_t1,94_t4,94_ratio,speedup_t4
4nec2-models/Objects/Illuminate.nec,2.23,2.2,1.0136,2.19,0.79,2.7722,2.7848
4nec2-models/Objects/NearFld.nec,1.65,1.6,1.0312,1.63,0.61,2.6721,2.623
antenna-modeling/2m-sat-yagi/2m-sat-candidate1-crossed.nec,3.24,3.07,1.0554,3.22,2.06,1.5631,1.4903
antenna-modeling/2m-sat-yagi/2m-sat-candidate1-inorder.nec,3.23,3.06,1.0556,3.21,2.06,1.5583,1.4854
antenna-modeling/2m-sat-yagi/2m-sat-candidate1.nec,1.66,1.73,0.9595,1.66,1.21,1.3719,1.4298
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-folded-drivenonly.nec,2.16,2.15,1.0047,2.13,1.51,1.4106,1.4238
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thick-crossed-wide.nec,16.21,14.69,1.1035,16.22,9.92,1.6351,1.4808
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thick-crossed.nec,4.06,3.66,1.1093,4.02,2.5,1.608,1.464
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thick-folded-inorder.nec,1.91,1.95,0.9795,1.92,1.36,1.4118,1.4338
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thin-folded-inorder.nec,1.92,1.98,0.9697,1.92,1.36,1.4118,1.4559
antenna-modeling/2m-sat-yagi/bar.nec,4.04,3.68,1.0978,4.02,2.5,1.608,1.472
antenna-modeling/2m-sat-yagi/thick-clearboom.nec,2.14,2.14,1.0,2.13,1.56,1.3654,1.3718
antenna-modeling/2m-sat-yagi/thin-clearboom.nec,2.15,2.18,0.9862,2.13,1.51,1.4106,1.4437
antenna-modeling/dipole-20m-gutters.nec,1.84,1.86,0.9892,1.82,1.28,1.4219,1.4531
antenna-modeling/dipole-80m-gutters.nec,2.12,2.16,0.9815,2.1,1.8,1.1667,1.2
antenna-modeling/force12-C3-15m-roof.nec,2.29,2.31,0.9913,2.28,1.59,1.434,1.4528
antenna-modeling/force12-C3-15m-tower.nec,2.3,2.34,0.9829,2.3,1.62,1.4198,1.4444
antenna-modeling/force12-C3-20m-roof.nec,1.73,1.8,0.9611,1.84,1.22,1.5082,1.4754
antenna-modeling/force12-C3-20m-tower.nec,1.76,1.76,1.0,1.73,1.24,1.3952,1.4194
antenna-modeling/force12-C3.nec,1.56,1.92,0.8125,1.56,1.1,1.4182,1.7455
antenna-modeling/gbhoyt.nec,23.4,20.58,1.137,23.2,14.23,1.6304,1.4462
antenna-modeling/yagitools/2m-sat-candidate1-crossed.nec,1.61,1.52,1.0592,1.6,0.99,1.6162,1.5354
antenna-modeling/yagitools/2m-sat-candidate1-inorder.nec,1.69,1.73,0.9769,1.65,1.22,1.3525,1.418
antenna-modeling/yagitools/ON6MU-adjusted.nec,4.97,5.13,0.9688,4.9,3.6,1.3611,1.425
antenna-modeling/yagitools/ON6MU-adjusted2.nec,4.88,5.07,0.9625,4.84,3.46,1.3988,1.4653
antenna-modeling/yagitools/ON6MU-adjusted3.nec,4.93,5.13,0.961,4.9,3.64,1.3462,1.4093
antenna-modeling/yagitools/ON6MU-adjusted4-allthick.nec,1.67,1.73,0.9653,1.66,1.21,1.3719,1.4298
antenna-modeling/yagitools/ON6MU-adjusted4-refthick.nec,1.66,1.74,0.954,1.64,1.21,1.3554,1.438
antenna-modeling/yagitools/ON6MU-adjusted4.nec,1.69,1.73,0.9769,1.65,1.21,1.3636,1.4298
antenna-modeling/yagitools/ON6MU.nec,4.95,5.13,0.9649,4.96,3.61,1.374,1.4211
cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-5/5-8a.nec,12.05,7.92,1.5215,11.9,7.71,1.5435,1.0272
g1ojs/Trapped/TRAPx2_V.nec,38.88,39.15,0.9931,38.79,38.79,1.0,1.0093
icecube-dbesson/Illuminate.nec,2.19,2.19,1.0,2.18,0.79,2.7595,2.7722
icecube-dbesson/NearFld.nec,1.62,1.64,0.9878,1.62,0.61,2.6557,2.6885
opennec/6mYagi-Onec.nec,41.14,41.45,0.9925,40.99,25.76,1.5912,1.6091
qantenna/1_4l-gp_on_pole.nec,1.45,1.49,0.9732,1.44,1.05,1.3714,1.419
sokyrad/unsorted/15m_20m_jumper_half_square.nec,2.37,2.34,1.0128,2.38,1.64,1.4512,1.4268
sokyrad/unsorted/fan_dipole_80_40_20_10_6m_20m_height_voltage_balun.nec,4.0,3.55,1.1268,3.97,1.91,2.0785,1.8586
