build	threads	deck	segments	wall_s	cpu_time_s
94ad682	1	antenna-modeling/2m-sat-yagi/thin-clearboom.nec	53	2.13	2.121
94ad682	1	antenna-modeling/2m-sat-yagi/thick-clearboom.nec	53	2.13	2.121
94ad682	1	antenna-modeling/2m-sat-yagi/2m-sat-candidate2-folded-drivenonly.nec	53	2.13	2.121
94ad682	1	opennec/6mYagi-Onec.nec	88	40.99	40.871
94ad682	1	antenna-modeling/force12-C3-15m-tower.nec	176	2.30	2.290
94ad682	1	antenna-modeling/yagitools/ON6MU-adjusted.nec	151	4.90	4.896
94ad682	1	antenna-modeling/yagitools/ON6MU-adjusted4.nec	151	1.65	1.641
94ad682	1	antenna-modeling/yagitools/ON6MU.nec	151	4.96	4.959
94ad682	1	sokyrad/unsorted/15m_20m_jumper_half_square.nec	114	2.38	2.374
94ad682	1	antenna-modeling/yagitools/ON6MU-adjusted4-allthick.nec	151	1.66	1.657
94ad682	1	antenna-modeling/yagitools/ON6MU-adjusted3.nec	151	4.90	4.890
94ad682	1	antenna-modeling/yagitools/ON6MU-adjusted4-refthick.nec	151	1.64	1.639
94ad682	1	antenna-modeling/2m-sat-yagi/2m-sat-candidate1.nec	151	1.66	1.654
94ad682	1	antenna-modeling/yagitools/2m-sat-candidate1-inorder.nec	151	1.65	1.645
94ad682	1	antenna-modeling/force12-C3-15m-roof.nec	176	2.28	2.276
94ad682	1	antenna-modeling/force12-C3-20m-tower.nec	176	1.73	1.727
94ad682	1	antenna-modeling/force12-C3.nec	176	1.56	1.551
94ad682	1	antenna-modeling/force12-C3-20m-roof.nec	176	1.84	1.728
94ad682	1	antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thin-folded-inorder.nec	178	1.92	1.914
94ad682	1	antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thick-folded-inorder.nec	178	1.92	1.918
94ad682	1	antenna-modeling/dipole-20m-gutters.nec	197	1.82	1.813
94ad682	1	antenna-modeling/2m-sat-yagi/2m-sat-candidate1-inorder.nec	302	3.21	3.202
94ad682	1	antenna-modeling/dipole-80m-gutters.nec	197	2.10	2.098
94ad682	1	antenna-modeling/yagitools/2m-sat-candidate1-crossed.nec	302	1.60	1.599
94ad682	1	antenna-modeling/2m-sat-yagi/bar.nec	372	4.02	4.019
