deck,status_a,status_b,wall_a,wall_b,speedup,comparable
4nec2-models/Aperiodic/2ELK9AY.nec,ok,ok,0.4305302891880274,0.29083835519850254,1.4803,1
4nec2-models/Aperiodic/2beverage.nec,ok,ok,0.4241330334916711,0.25304578710347414,1.6761,1
4nec2-models/Aperiodic/2el160flag.nec,ok,ok,0.2585563650354743,0.1645156443119049,1.5716,1
4nec2-models/Aperiodic/80pennant-pf.nec,ok,ok,0.2177725089713931,0.15473479311913252,1.4074,1
4nec2-models/Aperiodic/ON4BAAWD.nec,ok,ok,0.17502097319811583,0.08835915755480528,1.9808,1
4nec2-models/Aperiodic/Rhomb1.nec,ok,ok,0.13638767786324024,0.05771840550005436,2.3630,1
4nec2-models/Aperiodic/Rhombic.nec,ok,ok,0.17801764328032732,0.09244956076145172,1.9256,1
4nec2-models/Aperiodic/Semirhomb.nec,ok,ok,0.42331951204687357,0.2715871948748827,1.5587,1
4nec2-models/Aperiodic/Slopvee.nec,ok,ok,0.3205109778791666,0.19960183277726173,1.6058,1
4nec2-models/Aperiodic/Vee40.nec,ok,ok,0.3509051948785782,0.2174648828804493,1.6136,1
4nec2-models/Aperiodic/bev80.nec,ok,ok,0.36936177033931017,0.2405409011989832,1.5355,1
4nec2-models/Equations/1elQuad.nec,ok,ok,0.0037973737344145775,0.0038896482437849045,,0
4nec2-models/Equations/2elQuad.nec,ok,ok,0.0055330125615000725,0.005071108229458332,,0
4nec2-models/Equations/3elQuadGain.nec,ok,ok,0.008847595192492008,0.007526845671236515,,0
4nec2-models/Equations/3elQuadWide.nec,ok,ok,0.009177085012197495,0.007133216597139835,,0
4nec2-models/Equations/3elYagiGain.nec,ok,ok,0.0040031978860497475,0.0034550828859210014,,0
4nec2-models/Equations/3elYagiMaxFB.nec,ok,ok,0.003277515061199665,0.0034243743866682053,,0
4nec2-models/Equations/3elYagiWide.nec,ok,ok,0.0032975655049085617,0.003422638401389122,,0
4nec2-models/Equations/4elQuad.nec,ok,ok,0.013628832995891571,0.010350625030696392,,0
4nec2-models/Equations/Moxon.nec,ok,ok,0.2877982063218951,0.1835371870547533,1.5681,1
4nec2-models/Example1.nec,ok,ok,0.0029330281540751457,0.0031313207000494003,,0
4nec2-models/Example2.nec,ok,ok,0.0027569392696022987,0.004021085798740387,,0
4nec2-models/Fractals/Fractal.nec,ok,ok,1.5637830719351768,1.1001856103539467,1.4214,1
