build	threads	deck	segments	wall_s	cpu_time_s	R	X
x13	1	15m_20m_jumper_half_square	114	3.12	3.119	5.2963E+01	-1.6712E+04
x13	1	2m-sat-candidate2	372	23.34	23.330	8.4809E+01	4.1160E+01
x13	1	6mYagi-Onec	88	50.20	50.168	4.4334E+00	3.5740E+01
x13	1	6mYagi-oneFR	88	1.21	1.203	2.8759E+01	3.3011E+00
x13	1	6mYagi-RPtoXQ	88	0.11	0.101	4.4334E+00	3.5740E+01
x13	1	fan_dipole_80_40_20_10_6m	312	5.93	5.929	6.7307E+02	-2.5576E+02
x13	1	gbhoyt	304	35.17	35.164	1.0060E+03	-4.0562E+02
x13	1	LP144-35-MAXFB	914	57.76	57.667	6.0997E+01	-1.7516E+01
x13	1	ON6MU	151	6.57	6.567	3.2583E+01	-7.3756E+00
x13	1	TRAPx2_V	52	61.55	61.534	7.9459E+01	2.0379E+02
x13	4	15m_20m_jumper_half_square	114	3.12	3.915	5.2963E+01	-1.6712E+04
x13	4	2m-sat-candidate2	372	23.00	56.009	8.4809E+01	4.1160E+01
x13	4	6mYagi-Onec	88	49.56	49.747	4.4334E+00	3.5740E+01
x13	4	6mYagi-oneFR	88	1.21	1.403	2.8759E+01	3.3011E+00
x13	4	6mYagi-RPtoXQ	88	0.11	0.301	4.4334E+00	3.5740E+01
x13	4	fan_dipole_80_40_20_10_6m	312	5.93	7.144	6.7307E+02	-2.5576E+02
x13	4	gbhoyt	304	34.44	134.880	1.0060E+03	-4.0562E+02
x13	4	LP144-35-MAXFB	914	50.28	89.991	6.0997E+01	-1.7516E+01
x13	4	ON6MU	151	6.54	26.144	3.2583E+01	-7.3756E+00
x13	4	TRAPx2_V	52	61.53	61.711	7.9459E+01	2.0379E+02
d8e2147	1	15m_20m_jumper_half_square	114	2.39	2.384	5.2963E+01	-1.6712E+04
d8e2147	1	2m-sat-candidate2	372	16.26	16.252	8.4809E+01	4.1160E+01
d8e2147	1	6mYagi-Onec	88	41.14	41.124	4.4334E+00	3.5740E+01
d8e2147	1	6mYagi-oneFR	88	1.00	1.000	2.8759E+01	3.3011E+00
d8e2147	1	6mYagi-RPtoXQ	88	0.08	0.074	4.4334E+00	3.5740E+01
d8e2147	1	fan_dipole_80_40_20_10_6m	312	3.99	3.985	6.7307E+02	-2.5576E+02
d8e2147	1	gbhoyt	304	23.56	23.553	1.0060E+03	-4.0562E+02
d8e2147	1	LP144-35-MAXFB	914	34.14	34.087	6.0997E+01	-1.7516E+01
d8e2147	1	ON6MU	151	5.11	5.101	3.2583E+01	-7.3756E+00
d8e2147	1	TRAPx2_V	52	38.86	38.840	7.9459E+01	2.0379E+02
d8e2147	4	15m_20m_jumper_half_square	114	2.36	3.330	5.2963E+01	-1.6712E+04
d8e2147	4	2m-sat-candidate2	372	14.91	57.662	8.4809E+01	4.1160E+01
d8e2147	4	6mYagi-Onec	88	41.33	42.866	4.4334E+00	3.5740E+01
d8e2147	4	6mYagi-oneFR	88	1.01	1.251	2.8759E+01	3.3011E+00
d8e2147	4	6mYagi-RPtoXQ	88	0.08	0.485	4.4334E+00	3.5740E+01
d8e2147	4	fan_dipole_80_40_20_10_6m	312	3.51	5.521	6.7307E+02	-2.5576E+02
d8e2147	4	gbhoyt	304	21.88	118.000	1.0060E+03	-4.0562E+02
d8e2147	4	LP144-35-MAXFB	914	16.74	85.303	6.0997E+01	-1.7516E+01
d8e2147	4	ON6MU	151	5.12	25.941	3.2583E+01	-7.3756E+00
d8e2147	4	TRAPx2_V	52	38.92	39.079	7.9459E+01	2.0379E+02
94ad682	1	15m_20m_jumper_half_square	114	2.35	2.346	5.2963E+01	-1.6712E+04
94ad682	1	2m-sat-candidate2	372	16.04	16.034	8.4809E+01	4.1160E+01
94ad682	1	6mYagi-Onec	88	41.17	41.159	4.4334E+00	3.5740E+01
94ad682	1	6mYagi-oneFR	88	1.03	1.022	2.8759E+01	3.3011E+00
94ad682	1	6mYagi-RPtoXQ	88	0.08	0.075	4.4334E+00	3.5740E+01
94ad682	1	fan_dipole_80_40_20_10_6m	312	3.97	3.967	6.7307E+02	-2.5576E+02
94ad682	1	gbhoyt	304	23.36	23.353	1.0060E+03	-4.0562E+02
94ad682	1	LP144-35-MAXFB	914	34.17	33.948	6.0997E+01	-1.7516E+01
94ad682	1	ON6MU	151	4.94	4.937	3.2583E+01	-7.3756E+00
94ad682	1	TRAPx2_V	52	39.22	39.199	7.9459E+01	2.0379E+02
94ad682	4	15m_20m_jumper_half_square	114	1.63	3.665	5.2963E+01	-1.6712E+04
94ad682	4	2m-sat-candidate2	372	9.99	69.542	8.4809E+01	4.1160E+01
94ad682	4	6mYagi-Onec	88	25.76	42.756	4.4334E+00	3.5740E+01
94ad682	4	6mYagi-oneFR	88	0.66	1.356	2.8759E+01	3.3011E+00
94ad682	4	6mYagi-RPtoXQ	88	0.06	0.377	4.4334E+00	3.5740E+01
94ad682	4	fan_dipole_80_40_20_10_6m	312	1.89	6.073	6.7307E+02	-2.5576E+02
94ad682	4	gbhoyt	304	13.96	97.278	1.0060E+03	-4.0562E+02
94ad682	4	LP144-35-MAXFB	914	16.96	94.323	6.0997E+01	-1.7516E+01
94ad682	4	ON6MU	151	3.68	25.360	3.2583E+01	-7.3756E+00
94ad682	4	TRAPx2_V	52	38.69	46.939	7.9459E+01	2.0379E+02
