deck,wall_x13,wall_63,wall_d8,sp_d8_vs_x13,sp_63_vs_x13,sp_d8_vs_63,segments,wires,gn,gn_nofile,fr_cards,fr_steps,rp_cards,rp_points,ne_nh,ex_cards,ex_types,ld_cards,ld_types,nt_cards,tl_cards,gm_cards,gx_gr_cards
antenna-modeling/2m-sat-yagi/thin-clearboom.nec,2.538,2.185,2.151,1.1797,1.1615,1.0156,53,4,none,0,1,100,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/2m-sat-yagi/thick-clearboom.nec,2.534,2.17,2.139,1.1846,1.1676,1.0146,53,4,none,0,1,100,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-folded-drivenonly.nec,2.548,2.175,2.142,1.1893,1.1716,1.0151,53,4,none,0,1,100,1,2701,2,1,0,1,5,0,0,1,0
opennec/6mYagi-Onec.nec,49.38,41.086,41.333,1.1947,1.2019,0.994,88,3,none,0,1,41,1,130321,0,1,0,1,5,0,0,0,0
antenna-modeling/force12-C3-15m-tower.nec,2.988,2.523,2.383,1.254,1.184,1.0591,176,7,0,0,1,46,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/yagitools/ON6MU-adjusted.nec,6.548,5.406,5.163,1.2683,1.2112,1.0471,151,6,none,0,1,120,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/yagitools/ON6MU-adjusted4.nec,2.187,1.816,1.72,1.271,1.2041,1.0556,151,6,none,0,1,40,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/yagitools/ON6MU.nec,6.558,5.413,5.151,1.2733,1.2116,1.0509,151,6,none,0,1,120,1,2701,2,1,0,1,5,0,0,1,0
sokyrad/unsorted/15m_20m_jumper_half_square.nec,3.117,2.383,2.448,1.2736,1.3084,0.9734,114,7,0,0,1,3,1,65341,0,1,0,1,5,0,0,0,0
antenna-modeling/yagitools/ON6MU-adjusted4-allthick.nec,2.195,1.81,1.72,1.2765,1.2125,1.0528,151,6,none,0,1,40,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/yagitools/ON6MU-adjusted3.nec,6.572,5.414,5.146,1.2771,1.214,1.052,151,6,none,0,1,120,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/yagitools/ON6MU-adjusted4-refthick.nec,2.207,1.818,1.725,1.2794,1.2141,1.0537,151,6,none,0,1,40,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/2m-sat-yagi/2m-sat-candidate1.nec,2.212,1.822,1.727,1.2805,1.2141,1.0548,151,6,none,0,1,40,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/yagitools/2m-sat-candidate1-inorder.nec,2.208,1.824,1.723,1.2814,1.2102,1.0588,151,6,none,0,1,40,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/force12-C3-15m-roof.nec,2.971,2.506,2.314,1.2837,1.1856,1.0828,176,7,0,0,1,46,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/force12-C3-20m-tower.nec,2.279,1.899,1.765,1.2914,1.2002,1.076,176,7,0,0,1,36,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/force12-C3.nec,2.058,1.711,1.587,1.297,1.2028,1.0783,176,7,0,0,1,32,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/force12-C3-20m-roof.nec,2.265,1.88,1.745,1.2979,1.2045,1.0775,176,7,0,0,1,36,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thin-folded-inorder.nec,2.569,2.076,1.955,1.3142,1.2373,1.0621,178,9,none,0,1,40,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thick-folded-inorder.nec,2.568,2.078,1.946,1.3198,1.236,1.0679,178,9,none,0,1,40,1,2701,2,1,0,1,5,0,0,1,0
antenna-modeling/dipole-20m-gutters.nec,2.529,2.025,1.86,1.3595,1.2487,1.0887,197,4,0,0,1,36,1,2701,2,1,0,1,5,0,0,0,0
antenna-modeling/2m-sat-yagi/2m-sat-candidate1-inorder.nec,4.547,3.659,3.298,1.3789,1.2426,1.1096,302,12,none,0,1,40,1,2701,2,2,0,1,5,0,0,1,0
antenna-modeling/dipole-80m-gutters.nec,3.013,2.326,2.171,1.3876,1.2953,1.0713,197,4,0,0,1,50,1,2701,2,1,0,1,5,0,0,0,0
antenna-modeling/yagitools/2m-sat-candidate1-crossed.nec,2.289,1.925,1.642,1.3939,1.1886,1.1727,302,12,none,0,1,20,1,2701,2,2,0,1,5,0,0,1,0
antenna-modeling/2m-sat-yagi/bar.nec,5.778,4.08,4.135,1.3973,1.4161,0.9868,372,18,none,0,1,40,1,2701,2,2,0,1,5,0,0,1,0
qantenna/1_4l-gp_on_pole.nec,2.04,1.651,1.458,1.3994,1.2358,1.1323,114,3,none,0,1,21,1,5365,0,1,0,0,-,0,0,1,1
4nec2-models/Objects/NearFld.nec,2.319,1.683,1.597,1.4522,1.3777,1.0541,416,203,none,0,1,1,0,0,1,1,0,0,-,0,0,0,0
icecube-dbesson/NearFld.nec,2.333,1.65,1.594,1.464,1.414,1.0354,416,203,none,0,1,1,0,0,1,1,0,0,-,0,0,0,0
4nec2-models/Objects/Illuminate.nec,3.212,2.249,2.191,1.4659,1.4281,1.0264,490,49,none,0,1,1,0,0,1,1,0,0,-,0,0,0,0
icecube-dbesson/Illuminate.nec,3.199,2.249,2.168,1.4755,1.422,1.0376,490,49,none,0,1,1,0,0,1,1,0,0,-,0,0,0,0
antenna-modeling/2m-sat-yagi/2m-sat-candidate1-crossed.nec,4.547,3.434,3.048,1.4921,1.3242,1.1268,302,12,none,0,1,40,1,2701,2,2,0,1,5,0,0,1,0
antenna-modeling/yagitools/ON6MU-adjusted2.nec,7.561,5.208,5.064,1.4931,1.4516,1.0286,151,6,none,0,1,120,1,2701,2,1,0,1,5,0,0,1,0
g1ojs/Trapped/TRAPx2_V.nec,61.484,38.562,38.858,1.5823,1.5944,0.9924,52,7,0,0,2,252,1,181,0,1,0,4,1,0,0,1,0
antenna-modeling/gbhoyt.nec,34.687,25.553,21.684,1.5997,1.3574,1.1784,304,13,0,0,1,500,1,1665,2,1,0,0,-,0,0,0,0
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thick-crossed.nec,5.78,4.272,3.61,1.601,1.353,1.1833,372,18,none,0,1,40,1,2701,2,2,0,1,5,0,0,1,0
sokyrad/unsorted/fan_dipole_80_40_20_10_6m_20m_height_voltage_balun.nec,5.912,4.0,3.665,1.6129,1.4781,1.0912,312,11,0,0,1,5,1,16471,0,1,0,0,-,0,0,0,0
cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-5/5-8a.nec,12.962,8.154,7.94,1.6324,1.5896,1.0269,4002,1,none,0,1,1,1,361,0,2,0,0,-,0,0,0,1
antenna-modeling/2m-sat-yagi/2m-sat-candidate2-thick-crossed-wide.nec,23.054,17.304,13.756,1.6759,1.3323,1.258,372,18,none,0,1,160,1,2701,2,2,0,1,5,0,0,1,0
w8io/LP140-200-2D.nec,3.859,3.036,2.168,1.7802,1.271,1.4006,278,24,none,0,2,122,2,720,0,1,0,0,-,0,21,0,0
w8io/LP50-108-16.nec,4.57,3.613,2.495,1.8316,1.2648,1.4481,308,17,none,0,2,124,2,720,0,1,0,0,-,0,16,0,0
sokyrad/unsorted/26ft_vertical_26x20ft_radials_eznec_import.nec,2.428,1.584,1.292,1.8793,1.533,1.2259,608,27,0,0,1,1,1,16471,0,1,0,0,-,0,0,0,0
4nec2-models/VHFmultiband/SpiralAntennaCenterFeed.nec,27.378,20.355,13.639,2.0074,1.345,1.4925,4,3,-1,0,1,300,0,0,0,1,0,1,5,0,0,2,0
w8io/LP144-22.nec,3.172,2.395,1.576,2.0131,1.3243,1.5202,268,23,none,0,2,106,2,720,0,1,0,0,-,0,22,0,0
qantenna/10-30m_vert4.nec,15.5,7.625,7.533,2.0576,2.0329,1.0122,47,4,0,0,1,21,1,703,2,1,0,1,5,0,0,2,1
antenna-modeling/biqdfeed-fixed.nec,9.996,6.641,4.801,2.0821,1.5051,1.3833,481,61,none,0,1,10,1,5329,0,1,0,0,-,0,0,2,0
4nec2-models/HFmultiband/4-BAND.nec,4.792,4.25,2.188,2.1907,1.1277,1.9427,224,14,none,0,1,300,0,0,0,1,0,0,-,0,13,0,0
antenna-modeling/vertical-sample.nec,14.072,6.605,6.422,2.1911,2.1304,1.0285,64,1,0,0,1,19,1,703,2,1,0,0,-,0,0,0,0
4nec2-models/HFcollinear/hrs_441.nec,13.563,5.122,5.911,2.2947,2.648,0.8666,191,41,0,0,1,1,0,0,0,2,0,1,5,0,20,6,1
icecube-dbesson/hrs_441.nec,13.491,5.071,5.861,2.3017,2.6601,0.8653,191,41,0,0,1,1,0,0,0,2,0,1,5,0,20,6,1
w8io/EF7021.nec,19.053,11.587,7.376,2.5833,1.6444,1.571,526,21,none,0,2,200,2,720,0,1,0,0,-,0,0,0,0
w8io/FO-25-432.nec,26.411,15.37,9.656,2.7351,1.7183,1.5917,626,25,none,0,2,200,2,720,0,1,0,25,5,0,0,0,0
w8io/LP144-35-MAXFB.nec,50.053,24.523,17.712,2.826,2.041,1.3846,914,36,none,0,2,170,2,720,0,1,0,0,-,0,35,0,0
w8io/IO-432-28.nec,32.874,15.206,11.584,2.838,2.162,1.3127,701,28,none,0,2,200,2,720,0,1,0,28,5,0,0,0,0
w8io/whip_antenna_8ft_groundplane.nec,145.147,84.228,51.084,2.8413,1.7233,1.6488,4408,434,none,0,1,13,1,180,0,1,0,2,0,0,0,0,0
w8io/EF7027.nec,30.684,15.38,10.789,2.844,1.9951,1.4255,676,27,none,0,2,200,2,720,0,1,0,0,-,0,0,0,0
w8io/M2-432-9WLA.nec,32.838,16.171,11.493,2.8572,2.0306,1.4071,701,28,none,0,2,200,2,720,0,1,0,0,-,0,0,0,0
4nec2-models/VHFbeams/Parab50.nec,8.698,5.043,3.043,2.8587,1.7248,1.6574,3800,3790,none,0,1,1,0,0,0,2,0,0,-,0,0,0,0
icecube-dbesson/Parab50.nec,8.659,5.027,3.028,2.8595,1.7226,1.66,3800,3790,none,0,1,1,0,0,0,2,0,0,-,0,0,0,0
w8io/HG7031DX.nec,39.997,21.217,13.665,2.9271,1.8851,1.5527,776,31,none,0,2,200,2,720,0,1,0,0,-,0,0,0,0
w8io/FO-33-432.nec,45.346,22.98,15.336,2.9568,1.9733,1.4984,826,33,none,0,2,200,2,720,0,1,0,33,5,0,0,0,0
cebik-w4rnl/models/VHF-UHF/nec/100-dual-rhombic.nec,4.6,2.341,1.547,2.9731,1.9654,1.5127,3256,8,-1,0,1,1,1,3601,0,4,0,12,4/5,0,0,0,0
cebik-w4rnl/models/VHF-UHF/nec/432-tri-cornerrefl.nec,3.439,2.007,1.104,3.1142,1.7137,1.8172,2476,2461,-1,0,1,1,1,361,0,1,0,2461,5,0,0,0,0
icecube-dbesson/jbl.nec,4.538,2.564,1.45,3.1288,1.77,1.7677,137,18,none,0,1,1,0,0,0,1,0,0,-,0,0,11,0
4nec2-models/Objects/GM_test.nec,4.548,2.525,1.453,3.129,1.801,1.7374,137,18,-1,0,1,1,0,0,0,1,0,0,-,0,0,11,0
4nec2-models/VHFbeams/JBL.nec,4.539,2.511,1.449,3.1318,1.8075,1.7327,137,18,none,0,1,1,0,0,0,1,0,0,-,0,0,11,0
cebik-w4rnl/models/VHF-UHF/nec/432-cornerrefl-wiregrid-large.nec,2.976,1.694,0.93,3.2001,1.7562,1.8222,2290,2279,-1,0,1,1,1,361,0,1,0,2279,5,0,0,0,0
nec-simulations/nec/turnstileTestAntenna.nec,7.186,3.87,2.225,3.2298,1.8569,1.7393,4307,858,-1,0,1,1,1,361,0,2,0,1,5,0,0,1,0
w8io/LogYag220-520-15dbi.nec,45.92,23.413,13.695,3.3532,1.9613,1.7097,1406,55,none,0,1,65,1,180,0,1,0,0,-,0,52,0,0
cebik-w4rnl/models/Phased-Arrays/nec/1r5-bc3elendfire-burrad.nec,3.156,1.911,0.908,3.474,1.6515,2.1036,1035,70,0,0,1,1,1,3601,0,3,0,69,5,3,0,0,0
necpp/inverted_v.nec,4.409,2.506,1.235,3.569,1.7596,2.0282,1295,6,0,0,1,1,3,11640,0,1,0,2,4,0,0,0,0
cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-5/5-8.nec,5.993,2.746,1.589,3.7716,2.1823,1.7283,4002,1,none,0,1,1,1,361,0,1,0,0,-,0,0,0,0
cebik-w4rnl/models/Phased-Arrays/nec/1r8-4el-endfire-burrad.nec,5.136,2.982,1.281,4.0083,1.7222,2.3275,1380,93,0,0,1,1,1,3601,0,4,0,92,5,4,0,0,0
cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-11/11-11a.nec,3.154,2.017,0.731,4.3121,1.5634,2.7581,23,4,0,0,1,1,1,181,0,1,0,0,-,0,0,1,0
g1ojs/_2m/Verticals/2m Vertical dipole with phasing balun.nec,3.717,1.698,0.859,4.3255,2.189,1.976,480,14,0,0,1,5,0,0,0,1,0,0,-,0,2,1,0
