deck,build,omp_threads,instructions,cycles,ipc,cache_references,cache_misses,miss_rate_pct,misses_per_instruction,seconds,impedance
g1ojs/Trapped/TRAPx2_V.nec,63d0f93,1,335349013809,162921574640,2.06,145029626,14141654,9.751,4.216996e-05,38.699185476,"7.9459E+01, 2.0379E+02"
g1ojs/Trapped/TRAPx2_V.nec,63d0f93,4,340635239222,263099504616,1.29,200459920,14316130,7.142,4.202774e-05,39.206272502,"7.9459E+01, 2.0379E+02"
g1ojs/Trapped/TRAPx2_V.nec,d8e2147,1,339026410715,164715866320,2.06,103941251,7811237,7.515,2.304020e-05,39.125798637,"7.9459E+01, 2.0379E+02"
g1ojs/Trapped/TRAPx2_V.nec,d8e2147,4,339445119397,164423690111,2.06,106444622,3479811,3.269,1.025147e-05,38.852364876,"7.9459E+01, 2.0379E+02"
opennec/6mYagi-Onec.nec,63d0f93,1,421665603699,172851360433,2.44,306849178,15282740,4.981,3.624374e-05,41.074940999,"4.4334E+00, 3.5740E+01"
opennec/6mYagi-Onec.nec,63d0f93,4,422437446533,180438937507,2.34,346696453,15278285,4.407,3.616698e-05,41.268124545,"4.4334E+00, 3.5740E+01"
opennec/6mYagi-Onec.nec,d8e2147,1,422289023568,174193510809,2.42,320683838,15527408,4.842,3.676962e-05,41.374352232,"4.4334E+00, 3.5740E+01"
opennec/6mYagi-Onec.nec,d8e2147,4,423036558093,181818565377,2.33,408257248,17357930,4.252,4.103175e-05,41.704715033,"4.4334E+00, 3.5740E+01"
antenna-modeling/gbhoyt.nec,63d0f93,1,249409533898,99221638751,2.51,990532634,32610504,3.292,1.307508e-04,23.567194815,"1.0060E+03, -4.0562E+02"
antenna-modeling/gbhoyt.nec,63d0f93,4,394326872256,576422284182,0.68,1482201972,17679893,1.193,4.483563e-05,24.206326271,"1.0060E+03, -4.0562E+02"
antenna-modeling/gbhoyt.nec,d8e2147,1,250527877286,98240275545,2.55,1009199577,6282991,0.623,2.507901e-05,23.333816236,"1.0060E+03, -4.0562E+02"
antenna-modeling/gbhoyt.nec,d8e2147,4,386139850498,495850427364,0.78,1309276453,18805173,1.436,4.870042e-05,21.72661415,"1.0060E+03, -4.0562E+02"
w8io/LP144-35-MAXFB.nec,63d0f93,1,321915960050,143093882572,2.25,14630642682,1474122549,10.076,4.579215e-03,33.989741759,"6.0997E+01, -1.7516E+01"
w8io/LP144-35-MAXFB.nec,63d0f93,4,397381225984,508089293288,0.78,10286564921,1422520202,13.829,3.579737e-03,25.911421735,"6.0997E+01, -1.7516E+01"
w8io/LP144-35-MAXFB.nec,d8e2147,1,326084886625,143511147707,2.27,15059100279,1480585553,9.832,4.540491e-03,34.08793707,"6.0997E+01, -1.7516E+01"
w8io/LP144-35-MAXFB.nec,d8e2147,4,389059419068,353082349934,1.1,9678118516,1388837163,14.350,3.569730e-03,16.408774485,"6.0997E+01, -1.7516E+01"
