deck,build,omp_threads,instructions,cycles,ipc,cache_references,cache_misses,miss_rate_pct,misses_per_instruction,seconds
arrays.bowtie4x4.refined.somm13,63d0f93,1,102170529085,46492019734,2.2,1364586632,60406862,4.427,5.912357e-04,11.052357759
arrays.bowtie4x4.refined.somm13,63d0f93,4,108167688656,152386026177,0.71,1483165272,67942684,4.581,6.281237e-04,9.232764487
arrays.bowtie4x4.refined.somm13,d8e2147,1,104531578920,47540909514,2.2,1359626774,46269015,3.403,4.426319e-04,11.300283515
arrays.bowtie4x4.refined.somm13,d8e2147,4,105232642410,50311302144,2.09,1333769968,132086077,9.903,1.255182e-03,3.192855889
verticals.elt_whip.default.somm13,63d0f93,1,369110858407,150790418820,2.45,11509813720,952108935,8.272,2.579466e-03,35.852331065
verticals.elt_whip.default.somm13,63d0f93,4,381181070987,367105777181,1.04,11739801126,963844970,8.210,2.528575e-03,22.182731677
verticals.elt_whip.default.somm13,d8e2147,1,369723784477,142766403407,2.59,10922465615,531525343,4.866,1.437628e-03,33.946008633
verticals.elt_whip.default.somm13,d8e2147,4,371395551358,151084318780,2.46,11235547046,1446776339,12.877,3.895513e-03,9.337835377
arrays.bowtie4x4.refined.free,63d0f93,1,24300444138,8654060013,2.81,928399902,54144758,5.832,2.228139e-03,2.06235005
arrays.bowtie4x4.refined.free,63d0f93,4,25418336547,19468847797,1.31,966338088,63837541,6.606,2.511476e-03,1.19363603
arrays.bowtie4x4.refined.free,d8e2147,1,24524340112,8322740852,2.95,928085061,45360715,4.888,1.849620e-03,1.985362252
arrays.bowtie4x4.refined.free,d8e2147,4,25183414725,9948241980,2.53,945467493,53487290,5.657,2.123909e-03,0.628750143
